pheno	n	beta2	auc	pearsonr	spearmanr
BIN4728	2534	1.0750213482933666	0.5611654043982522	na	-0.0014650229060271653
BIN_FC10001787	5791	1.3663707480762102	0.5192791607951497	na	0.027345341485200205
BIN_FC10001797	5796	0.8955025529362887	0.8220346826589304	na	0.01382536642670875
BIN_FC10001835	10528	0.7502646634589322	0.8062678415913969	na	-0.016443764972346092
BIN_FC10002159	1513	0.8891057545132602	0.6345949811647409	na	0.011731773089036774
BIN_FC10002188	7938	1.333269449863109	0.5966573349384935	na	0.013780911099521651
BIN_FC10002227	4477	1.0948232385882761	0.5516894218026951	na	0.01787087603439348
BIN_FC10002257	9769	1.1782318662395803	0.5763882287366184	na	-0.0032262381964376506
BIN_FC10002316	5371	1.4706471152467324	0.5424283259957975	na	-0.01926465360091367
BIN_FC10002335	4788	0.9520752419099551	0.526045684696285	na	-0.004699598838176197
BIN_FC10002345	8715	0.880387276973576	0.7006941334355786	na	-0.0007844469241571021
BIN_FC10002365	3235	0.8278158289939442	0.7135206682232235	na	0.0012272412650762244
BIN_FC10002443	1162	1.337788438840491	0.6706032202688426	na	0.05683759358797153
BIN_FC10002453	2169	0.8846089397499155	0.6430107953869739	na	-0.011604263769326599
BIN_FC10002463	2863	1.3128396560166002	0.5278911007194395	na	0.024812034461015035
BIN_FC10002473	5356	1.3455519998385874	0.5721811639989673	na	0.019883105523398965
BIN_FC10002492	11336	1.3804177579047572	0.632849033508821	na	0.04008737455464101
BIN_FC10002694	13874	1.4328443312712102	0.538475850763181	na	-0.004339949316957625
BIN_FC10002784	11123	0.9427615979769499	0.6172100020969926	na	-0.0033961930929573103
BIN_FC10002814	4996	0.6994440505348823	0.7741403359162873	na	-0.01186594511700109
BIN_FC10002834	956	0.49375790157202876	0.6695515491250663	na	-0.004554488183656939
BIN_FC10002844	9757	0.8911006194588704	0.5838078684250763	na	0.013200817359606935
BIN_FC10002907	3163	1.0008391355986959	0.5392773360741834	na	-0.05680958728965407
BIN_FC10003393	666	1.1984883903322647	0.7136945870771001	na	0.002930054910306654
BIN_FC10003571	4744	1.9889303664406588	0.552048729716775	na	-0.022321882857963167
BIN_FC10003591	1003	1.8106040785614361	0.7349661173375003	na	0.011040113345379644
BIN_FC10003799	2469	0.4398078968962346	0.5571994936878889	na	-0.025449728855889503
BIN_FC10004717	1228	1.2689670623369151	0.5622188278075451	na	-0.009212535614441122
BIN_FC10006152	5888	0.9209968401997676	0.5670161178489401	na	-0.009200947480010936
BIN_FC10006154	542	0.9961010847703193	0.559089122978677	na	0.005938704539523806
BIN_FC10006155	1893	0.7417334068020228	0.5882601535067277	na	0.01267130469464467
