pheno	n	beta2	auc	pearsonr	spearmanr
BIN_FC10002227	37172	1.2602672499018945	0.5672434086653466	na	0.015119200880018356
BIN_FC10002257	92064	0.9856241129689234	0.5975912581490219	na	0.003806865883194884
BIN_FC10002316	50311	1.1055871777500197	0.5317613192552665	na	-0.012732705379532742
BIN_FC10002335	38303	1.1899530282591146	0.5381990028070816	na	0.0044973619242773145
BIN_FC10002345	86879	1.0509733678581898	0.693345686791683	na	0.003452209963329447
BIN_FC10002365	35503	0.9068127522431997	0.7012773352735964	na	-0.0074631911113844564
BIN_FC10002443	12119	1.7738000125174118	0.6689613065238917	na	0.06471745568876645
BIN_FC10002453	20360	0.9600964432132256	0.6305847823958026	na	-0.002420262286626713
BIN_FC10002463	24672	1.4082305950909222	0.5514078138686782	na	0.03984086036868767
BIN_FC10002473	50330	1.1163940959378778	0.566462084500917	na	0.01558822784172789
BIN_FC10002492	116381	1.232032391014387	0.6218022460039461	na	0.04098350589060817
BIN_FC10002694	124042	0.7145253856307162	0.6093957812642956	na	-0.0069935602765265675
BIN_FC10002784	104689	0.9860651167746889	0.7134561640547203	na	-0.012345111106086949
BIN_FC10002814	50686	0.8198659599678251	0.7324800700087042	na	-0.024325982884416494
BIN_FC10002834	10605	1.0022860346743903	0.6152241900978824	na	0.017145240135257676
BIN_FC10002844	85322	1.1566321990288222	0.5778595437992269	na	0.009128283211882422
BIN_FC10002907	25690	1.2427770334965351	0.5355690768167566	na	-0.022018036748383554
BIN_FC10003393	8959	1.261072098609156	0.6978676160455178	na	0.02210621289332476
BIN_FC10003571	42802	1.1342481748676088	0.5570036338143112	na	0.0038233173861857467
BIN_FC10003591	9809	0.8271430327452547	0.7123050250002942	na	-0.013165212777627203
BIN_FC10003799	21783	0.9348978205181778	0.5764666827677155	na	-0.015871350709939842
BIN_FC10004717	9952	0.9194529326234171	0.575237996291133	na	-0.010317303706812723
BIN_FC10006152	56072	0.7760306294765967	0.5794950324476298	na	-0.019231825720715755
BIN_FC10006154	4867	1.3135829642971328	0.5654338303491298	na	0.009640080021652012
BIN_FC10006155	12638	0.8563141204450496	0.5792966279416761	na	-0.009216828988532424
BIN_FC10006179	10121	1.0746029522473923	0.592323261070357	na	0.016431416284059284
BIN_FC1001747	27104	2.3875620568155758	0.5552179016468606	na	0.0879631358194859
BIN_FC10020018	20046	1.1461698728777672	0.6063707205463864	na	0.0073381409834988465
BIN_FC10020126	15691	0.9343679426049073	0.6055167833534842	na	-0.03659730386682728
BIN_FC10020544	937	0.9943482994961873	0.5881979093756715	na	-0.0006336521993460774
BIN_FC10020547	16789	1.03346638526371	0.6450009088105877	na	0.006117785944867413
BIN_FC10021057	10839	0.6583756975275614	0.6734378689601755	na	-0.0024925855029115703
BIN_FC1002247	63625	1.13243473511619	0.6180644899714574	na	0.012679597370922523
BIN_FC1002306	106679	1.0568582582272201	0.573216047463899	na	0.005500077965977628
BIN_FC1002395	25670	0.952089237166306	0.5176660587635189	na	-0.003194540055947209
BIN_FC1002724	81661	0.9371985446002876	0.9581887678846671	na	0.005465103489207115
BIN_FC1004803	30143	1.0606286327138947	0.5491577531515233	na	0.014944264806709797
BIN_FC1005152	2048	1.7165852146672778	0.5797263075209135	na	0.02932347284887685
BIN_FC1005155	1747	1.8822690966002482	0.5707543819321655	na	0.007208533619326471
BIN_FC1006148	1685	3.246215566087416	0.6906116300884935	na	0.03285426412824597
BIN_FC1006149	25398	1.2920647662556082	0.5569250341721785	na	0.033596276967131765
BIN_FC1006150	5554	1.7737591892752356	0.8083564642288408	na	0.023072742734671185
BIN_FC1006152	5067	2.625806208140629	0.6181819185818613	na	0.03958102322251428
BIN_FC1006153	17263	0.9800723628792359	0.7217580847992443	na	-0.000171660203292861
BIN_FC1006154	34240	1.0646915970660753	0.6986437609902767	na	0.004796054312153651
BIN_FC1006155	4694	1.7130055677417493	0.5809482899357339	na	0.02047772572583854
BIN_FC1006177	27563	1.1561294644750202	0.7184779038228125	na	0.007714084208924208
BIN_FC1006179	77051	0.952449939663998	0.6103778156606842	na	0.0030156113314271046
BIN_FC10110005	62762	0.9576934634700821	0.525714487651991	na	-0.017517913557340083
BIN_FC11006152	6428	2.2404425002736783	0.6093997936630124	na	0.041318299555974054
BIN_FC11006154	16348	1.014903526565059	0.6231373133104237	na	-0.012251463031772858
BIN_FC12006152	6428	2.3628365571957692	0.6172210036213899	na	0.032255462287997076
BIN_FC12006154	7372	1.0701191679943298	0.6666487535107057	na	-0.0024638133726808537
