pheno	n	beta2	auc	pearsonr	spearmanr
BIN4653	16242	1.0307309042689017	0.5954537390845974	na	0.018748666547678747
BIN4728	21864	1.198807654058508	0.5576707870601189	na	0.007671001007009854
BIN_FC10001787	62665	1.0795913679137168	0.5522438896099865	na	0.014403361391903714
BIN_FC10001797	53428	0.853481947687662	0.8390200029425728	na	0.015718213820885018
BIN_FC10001835	91789	0.8048303444385978	0.8063832297553117	na	-0.011235135044775805
BIN_FC10002159	7238	3.741124866243745e-23	0.6479027415085628	na	-0.010775006588883185
BIN_FC10002188	78583	1.0885523210939108	0.5851400857617938	na	0.022458802727990675
BIN_FC10002227	37172	1.2613774145999614	0.5670999535647752	na	0.014412648818098377
BIN_FC10002257	92064	0.9908306114251215	0.5975943984320198	na	0.005445236326883985
BIN_FC10002316	50311	1.1279365663096572	0.5326761995375754	na	0.016916495102877863
BIN_FC10002335	38303	1.145889056217195	0.5385247528792517	na	0.008461112403680747
BIN_FC10002345	86879	1.070472564089757	0.693297343725388	na	0.0007429001614303839
BIN_FC10002365	35503	0.8801324044883511	0.7013767488761674	na	-0.008855060289334192
BIN_FC10002443	12119	1.7234873189937114	0.6667200204283308	na	0.05978143067987754
BIN_FC10002453	20360	1.064110461940957	0.6306023885135982	na	0.0030564692033348594
BIN_FC10002463	24672	1.4093440141333289	0.5461649568960422	na	0.03195776859724578
BIN_FC10002473	50330	1.1226304885504763	0.5671285294437501	na	0.019524419855260742
BIN_FC10002492	116381	1.1531022888041933	0.6210669831531828	na	0.03316937593742754
BIN_FC10002694	124042	0.6947168985010538	0.6097605854082591	na	-0.006710704166184624
BIN_FC10002784	104689	0.9969452630730041	0.7134691861773366	na	-0.01210118597043905
BIN_FC10002814	50686	0.8120623663824545	0.7322978502352699	na	-0.020493417245523234
BIN_FC10002834	10605	1.0005028102524751	0.6154151086504633	na	0.01783659623736788
BIN_FC10002844	85322	1.171294011352966	0.577981869782831	na	0.011139261994642595
BIN_FC10002907	25690	1.097869310629028	0.5372529173151648	na	0.010821635945965613
BIN_FC10003393	8959	1.2749032656081165	0.6978381879196153	na	0.02276049131087794
BIN_FC10003571	42802	1.1730357855799727	0.5575582932121129	na	0.00955469953940959
BIN_FC10003591	9809	0.885807394243453	0.7122482781961004	na	-0.011503671382211571
BIN_FC10003799	21783	1.0054792140087225	0.5762733273629665	na	-0.013370261638674311
BIN_FC10004717	9952	0.8952562500513276	0.5741845862830954	na	0.005747411824629823
BIN_FC10006152	56072	0.7986408715936436	0.58204172882006	na	-0.03213502165033168
BIN_FC10006154	4867	1.2232366364109255	0.5661621404547976	na	0.014363465486494524
BIN_FC10006155	12638	0.8573833843658719	0.5794323037902034	na	-0.013452864459438146
BIN_FC10006179	10121	1.1621787268973256	0.5920824455945132	na	0.013651981944340679
BIN_FC1001747	27104	2.2715747557573103	0.6090615200588025	na	0.11031667146283158
BIN_FC10020018	20046	1.22319014922453	0.606358429097428	na	0.008452916067705278
BIN_FC10020126	15691	0.9041001684741153	0.6051562674623013	na	-0.03491115641120353
BIN_FC10020544	937	1.1141284269567222	0.5928113881243005	na	-0.005934930632015971
BIN_FC10020547	16789	1.1166170446084693	0.6454461779449867	na	0.015408346014228741
BIN_FC10021057	10839	0.695438724408105	0.6739605126921472	na	-0.009723710538885084
BIN_FC1002247	63625	1.153785605669687	0.6181500639774482	na	0.016311926941400802
BIN_FC1002306	106679	1.0293482127522395	0.5733066255973037	na	0.010766706381285705
BIN_FC1002395	25670	1.0053826660654235	0.5180559598637005	na	-0.008987442359200343
BIN_FC1002724	81661	0.9570026685052981	0.9582345419721768	na	0.009330054659639023
BIN_FC1004803	30143	1.01002812419026	0.5489942763804024	na	0.013580734879084249
BIN_FC1005152	2048	1.6650148193821788	0.5815097918630512	na	0.031880752395616406
BIN_FC1005155	1747	2.190430179207623	0.5708132257811646	na	0.005989593945386664
BIN_FC1006148	1685	3.424955202682695	0.6951868632515876	na	0.03955252102751362
BIN_FC1006149	25398	1.2805973606932477	0.5558134841804262	na	0.03160128094354352
BIN_FC1006150	5554	1.757965897895398	0.8110358304270947	na	0.037882009053129405
BIN_FC1006152	5067	2.6491132135698	0.6262840655777622	na	0.046760602029029034
BIN_FC1006153	17263	0.9443534753428192	0.7220414533133456	na	0.013423952313634305
BIN_FC1006154	34240	1.0917501423423812	0.6987675115702712	na	0.011450199704328975
BIN_FC1006155	4694	1.7167012270889401	0.5807272124103133	na	0.020985743490045988
BIN_FC1006177	27563	1.179648753023923	0.7194348870810012	na	0.03066979316231622
BIN_FC1006179	77051	0.9695666594284479	0.6103852089001562	na	0.0011982673457668835
BIN_FC10110005	62762	0.9609802550466564	0.5254352115492571	na	-0.013332745001016411
BIN_FC11006152	6428	2.295159609434093	0.6180456748684947	na	0.049509924447184515
BIN_FC11006154	16348	1.106519210433174	0.622875922658345	na	-0.008912218031909336
BIN_FC12006152	6428	4.0530176850884505	0.6363943653554819	na	0.048610761439950384
BIN_FC12006154	7372	1.1182190058774084	0.6665969414914803	na	-0.00033344133887662763
BIN_FC12006155	5269	1.2536877428736146	0.5573929930377182	na	0.03084972124476308
BIN_FC130020544	10891	0.9203914293174749	0.5994167600024548	na	0.007946547970319845
BIN_FC13006155	4694	1.4155378441974222	0.5667674681115348	na	-0.008921164198674848
BIN_FC18006155	5269	1.4063480217807685	0.5832408869786534	na	0.014901875207276195
BIN_FC19006155	52947	1.144576096050426	0.5477404779995793	na	-0.002091339487778039
BIN_FC20006157	4347	0.8648278808966662	0.585550030736041	na	-0.01556111760581839
BIN_FC2001747	10860	110.60991807724467	0.8799417496315554	na	0.2737240842542251
BIN_FC20020018	4243	0.5226088613120676	0.6368547157155271	na	-0.005473606175853898
BIN_FC20020549	9773	1.1824267629231129	0.6021889918662919	na	0.014190741871042453
BIN_FC2006148	3859	0.903536907343305	0.7090331468387845	na	-0.0011185825469508348
BIN_FC2006150	7672	1.024439044602095	0.7816762789009202	na	0.0065312358983916465
BIN_FC2006153	23198	1.1749573532999946	0.6941149643561635	na	0.024555664314567013
BIN_FC2006154	36563	0.8837927599497143	0.6224320556538557	na	-0.021876045001693982
BIN_FC2006177	28750	0.9544874113750758	0.7048068196283428	na	0.006851091617590321
BIN_FC2006179	47629	1.0778561914381641	0.622171288430801	na	0.019511798021882132
