PHE	TRAIN_RAW	TRAIN_RESID	TRAIN_JOINT	TRAIN_COVAR	TEST_RAW	TEST_RESID	TEST_JOINT	TEST_COVAR
INI25083	0.799482800352	0.662893183564	0.674510030348	0.0343892462707	0.0705593865247	0.00479310955753	0.0308854367394	0.02620562536
INI25084	0.744024348184	0.623821345521	0.664559869212	0.107496324334	0.0845327469917	0.00822795519022	0.0991797105611	0.0916453777169
INI25085	0.765063832312	0.655306170202	0.690211553965	0.101123871534	0.0782420052985	0.00782346354217	0.11588879189	0.108873434428
INI25086	0.776949938713	0.633206745827	0.649222674345	0.0431431429525	0.0842403198368	0.00737659978726	0.0512062843577	0.0441043694961
INI25087	0.754433191288	0.598934231668	0.617484365426	0.0459572785415	0.0626649019258	0.0039308351302	0.0340642494234	0.0302454187321
INI25088	0.77338885993	0.667881187926	0.703035315069	0.105620153003	0.0727444902056	0.00601400169467	0.107948970383	0.102540058992
INI25089	0.785750736223	0.676508541083	0.705246132233	0.0886887944367	0.0739235486763	0.00572082091015	0.0832972062943	0.0780093898539
INI25090	0.794237626742	0.67010101187	0.691408460265	0.063482794926	0.0800713587951	0.00615098486918	0.0688828855407	0.0630913849206
INI25091	0.79047489751	0.671579536779	0.695786675329	0.0729224814359	0.0815435543232	0.00764607337737	0.0921593846074	0.0851136005882
INI25092	0.782595168849	0.63198681659	0.64381820808	0.031778689016	0.0831691269446	0.00550465677317	0.0382415326164	0.0328535985254
INI25093	0.785915867618	0.638394968237	0.650683229162	0.0336878018198	0.0643480745956	0.00310795708443	0.0330135175191	0.0299444098166
INI25094	0.713062597173	0.64142164736	0.715911108456	0.207013136035	0.0924087986558	0.0092497122102	0.215921214968	0.208587444147
INI25095	0.715150351621	0.648070770409	0.722087031863	0.209705930209	0.0773735168882	0.00688130995088	0.226905171207	0.221535790556
INI25096	0.802440184763	0.672534775103	0.685642167269	0.0398890901218	0.14957017521	0.0232851364814	0.0536274115341	0.0309576115455
INI25097	0.78513512617	0.644514974747	0.659481252775	0.0419081183117	0.132237222786	0.0191539911222	0.0591655468309	0.0406841496587
INI25098	0.75553116559	0.626010071746	0.657998923532	0.0851432240424	0.0729873890975	0.00475586253124	0.0809649778849	0.0765713277351
INI25099	0.766697575574	0.655923294775	0.690923948932	0.101252794461	0.092553199891	0.0086538448569	0.118228329301	0.110524943828
INI25100	0.754406556955	0.58219267029	0.590636947632	0.0191802729599	0.0608760799361	0.0030952909138	0.0273113729651	0.0242814322677
INI25101	0.768994607923	0.602058487963	0.608941687851	0.0161761442316	0.116661074735	0.0134240838489	0.0202683490962	0.00689471058626
INI25102	0.748294791911	0.61274508065	0.643803473817	0.0798158567961	0.0782330902621	0.00756328667633	0.0696457255293	0.0624868381277
INI25103	0.704382837802	0.515220162305	0.530676794388	0.0313433600528	0.0897169840323	0.00846653524856	0.0373647895458	0.0290867976969
INI25344	0.79403373437	0.643640094237	0.652581624416	0.023090476858	0.1431927409	0.0194109886272	0.0359124270064	0.016715786655
INI25345	0.64873158607	0.425599228403	0.43745088268	0.0187269282312	0.0978299057714	0.00928413992329	0.0280155335752	0.0188568627607
INI25346	0.767813185143	0.625938985297	0.648684712804	0.0601964668692	0.190907573745	0.0373338626247	0.0846734863097	0.0490694212531
INI25347	0.766325431199	0.589840522128	0.591653018343	0.00378708255674	0.228198818639	0.0504337345437	0.0556326377776	0.00513858526492
INI25348	0.707090093102	0.524841151129	0.546984409432	0.0460264036308	0.176576574454	0.03097880966	0.073624820776	0.0437929456704
INI25349	0.633827504662	0.415395056164	0.436140296922	0.0352712801944	0.107542407322	0.0103752548973	0.0559849413828	0.046030667688
INI25350	0.773066218199	0.625560749675	0.643165260122	0.0458462507294	0.0745529201159	0.00534860666991	0.0498401668367	0.0446842121904
INI25351	0.759216593468	0.596839448845	0.611602423074	0.0351780719987	0.0815314094816	0.00623035815844	0.0372836399554	0.0311906272908
INI25352	0.755820200782	0.609843867074	0.634153160594	0.0603431613398	0.0566166403805	0.00247362000014	0.0522793070762	0.0499005124848
INI25353	0.76718516459	0.6154998639	0.632727439485	0.0422790242403	0.0650405503475	0.0033350902172	0.0421301499755	0.0388823854076
INI25354	0.766983155433	0.623935282815	0.644839502774	0.0546719646669	0.0989192604453	0.00842754034654	0.0559276008784	0.0478550470723
INI25355	0.783124955389	0.64444734781	0.661412321232	0.0469590186796	0.0902473891512	0.00696874638218	0.0529790929511	0.0462890843721
INI25356	0.743768797043	0.593341043854	0.62052812154	0.0667413237047	0.123868186848	0.0145390798865	0.0828170119284	0.0692349885091
INI25357	0.751418246043	0.587621952373	0.603845219079	0.0392136789709	0.164374453966	0.0274271272422	0.0782684113048	0.0521880141318
INI25358	0.761998223078	0.617438508098	0.637949942769	0.053113115281	0.118723806254	0.0126222201697	0.0807497687932	0.0688918001895
INI25359	0.779572934353	0.626897219463	0.63689887545	0.0262827175872	0.125497411098	0.0147029942792	0.0589812458896	0.0448118660192
INI25360	0.766009618483	0.646097467999	0.682244018716	0.101196516369	0.105165895826	0.0100571127725	0.0879381305918	0.0786381012226
INI25361	0.769089149009	0.641539960119	0.672886651819	0.0864573968586	0.108530014699	0.0110730959455	0.0947177681739	0.084534583449
INI25362	0.751188290854	0.585101062344	0.602427932158	0.0407854794647	0.16571588716	0.0272725541885	0.0691539946985	0.0429529337432
INI25363	0.770023038536	0.615665856604	0.631680290165	0.0405361446791	0.175338576812	0.0305477169701	0.061724555447	0.0320089484268
INI25364	0.723502718147	0.533935948602	0.546006555104	0.0250602470921	0.175157882347	0.031170288626	0.054631820071	0.0240330079865
INI25365	0.756434440478	0.58579309099	0.597600512384	0.0277008076347	0.200608474311	0.0413802622441	0.061270945885	0.0205343964745
INI25366	0.770796383529	0.678959200677	0.72081185541	0.129978532793	0.127960438567	0.0188569046687	0.130880925106	0.114070727018
INI25367	0.773651001543	0.678421586415	0.718446712038	0.123949356145	0.127209773204	0.01891240739	0.128643319338	0.111726359345
INI25368	0.67797973781	0.506067727631	0.552914496578	0.0943746129833	0.144056491911	0.0227517954825	0.110942239037	0.0899831608726
INI25369	0.686115726779	0.524041110854	0.574021768515	0.104559109198	0.147867980337	0.0244897592097	0.129597449079	0.107463902861
INI25370	0.761035744104	0.628653723245	0.658653648855	0.0805423032121	0.158488281412	0.0281639288072	0.0947041927262	0.0681561923626
INI25371	0.686397212873	0.50913208647	0.546532845499	0.0758290275129	0.153223374433	0.0249922712642	0.0851223852852	0.0614085416435
INI25372	0.679362877841	0.496311908709	0.531339472798	0.0690755655808	0.168643852349	0.029258845581	0.0843196002747	0.056390373844
INI25373	0.686536979398	0.516106055907	0.557196474746	0.0845320875969	0.166562582194	0.0291523417944	0.0996572304099	0.0723323365383
INI25374	0.769639433849	0.623763750171	0.643382009669	0.0516895210337	0.203763968365	0.0431959632166	0.0870113100205	0.0453003768422
INI25375	0.777046669346	0.648149182537	0.672877648535	0.0698833570488	0.174023103099	0.0325168210865	0.0835337681046	0.0525110913185
INI25376	0.757986799261	0.64630228643	0.686334285433	0.112855299236	0.0982003612927	0.0103955104571	0.120010687102	0.110747465209
INI25377	0.756040276797	0.642990355413	0.683600139951	0.113295230899	0.0743430976756	0.00572800009743	0.122082677909	0.117010221399
INI25378	0.762119230196	0.631193523764	0.662463370639	0.0844218421473	0.188432903185	0.0387984296565	0.0993934133005	0.0628775696074
INI25379	0.782172869886	0.664109323326	0.691955742635	0.0823959751906	0.176743078175	0.0359353575504	0.107780339778	0.0743585972147
INI25380	0.7901776337	0.65102863512	0.666576552642	0.0435120490506	0.142827280668	0.0204775323445	0.0583702385831	0.0385287658617
INI25381	0.78082933763	0.633638533424	0.649096014478	0.0411761791745	0.111534254448	0.0127169211708	0.0538836354343	0.0415763022844
INI25382	0.782546622798	0.622051590549	0.627594358035	0.014429248608	0.0954878266029	0.00867303228451	0.026061004672	0.0174990582228
INI25383	0.766674437411	0.601189851456	0.609771151382	0.021211991854	0.104154573976	0.0106811874131	0.0328481152258	0.0223470736857
